strike_id,date,adm_1,adm_2,adm_3,min_total_ppl,max_total_ppl,min_civilians,max_civilians,min_children,max_children,min_injured,max_injured,adm_1_code,adm_1_sort_name,adm_1_full_name,adm_1_lat_dd,adm_1_long_dd,adm_2_sort_name,adm_2_full_name,adm_2_lat_dd,adm_2_long_dd
YEM001,03/11/2002,Ma'rib,unclear,Unknown,6,6,0,0,0,0,0,0,YE-MA,MARIB,Ma'rib,15.416667,45.35,,,,
YEM002,17/12/2009,Abyan,unclear,Unknown,55,58,44,44,21,22,9,9,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM003,17/12/2009,San`a',Arhab,Unknown,0,0,0,0,0,0,0,0,YE-SN,SANA,San`a',15.260691,44.424895,ARHAB,Arhab,15.790939,44.246602
YEM004,24/12/2009,Shabwah,unclear,Unknown,30,34,0,0,0,0,0,0,YE-SH,SHABWAH,Shabwah,15.0,47.0,,,,
YEM005,12/01/2010,Shabwah,unclear,Unknown,1,2,0,0,0,0,0,0,YE-SH,SHABWAH,Shabwah,15.0,47.0,,,,
YEM006,15/01/2010,unclear,unclear,Unknown,0,6,0,0,0,0,0,0,,,,,,,,,
YEM007,20/01/2010,Ma'rib,Al Jubah,Unknown,2,2,0,0,0,0,0,0,YE-MA,MARIB,Ma'rib,15.416667,45.35,ALJUBAH,Al Jubah,15.129253,45.286811
YEM008,31/01/2010,multiple,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,
YEM009,14/03/2010,Abyan,Al Mahfid,Unknown,2,3,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,ALMAHFID,Al Mahfid,14.01847,46.755958
YEM010,15/03/2010,Abyan,Mudiyah,Unknown,7,20,0,20,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,MUDIYAH,Mudiyah,13.885422,46.219647
YEM011,24/05/2010,Ma'rib,unclear,Unknown,3,4,3,4,0,0,2,3,YE-MA,MARIB,Ma'rib,15.416667,45.35,,,,
YEM012,05/05/2011,Shabwah,unclear,Unknown,2,2,0,0,0,0,0,0,YE-SH,SHABWAH,Shabwah,15.0,47.0,,,,
YEM013,03/06/2011,Abyan,Zinjibar,Unknown,7,7,4,4,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,ZINJIBAR,Zinjibar,13.140857,45.430399
YEM014,10/06/2011,Abyan,Zinjibar,Unknown,1,1,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,ZINJIBAR,Zinjibar,13.140857,45.430399
YEM015,10/06/2011,Abyan,unclear,Unknown,2,3,2,3,1,1,0,1,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM016,18/06/2011,Abyan,unclear,Unknown,0,0,0,0,0,0,6,6,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM017,14/07/2011,Abyan,Mudiyah,Unknown,6,50,30,30,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,MUDIYAH,Mudiyah,13.885422,46.219647
YEM018,14/07/2011,Abyan,unclear,Unknown,0,0,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM019,27/07/2011,Abyan,Zinjibar,Unknown,5,5,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,ZINJIBAR,Zinjibar,13.140857,45.430399
YEM020,01/08/2011,Abyan,unclear,Unknown,13,16,0,0,0,0,12,17,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM021,24/08/2011,Abyan,Zinjibar,Unknown,30,30,0,0,0,0,40,40,YE-AB,ABYAN,Abyan,13.786202,46.141766,ZINJIBAR,Zinjibar,13.140857,45.430399
YEM022,24/08/2011,Abyan,unclear,Unknown,6,6,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM023,25/08/2011,Abyan,Al Wadi`,Unknown,8,8,0,0,0,0,3,3,YE-AB,ABYAN,Abyan,13.786202,46.141766,ALWADI,Al Wadi`,13.719918,46.012205
YEM024,31/08/2011,Abyan,unclear,Unknown,30,30,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM025,05/09/2011,Abyan,unclear,Unknown,3,7,3,7,0,0,4,4,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM026,05/09/2011,Abyan,unclear,Unknown,9,11,1,1,1,1,2,2,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM027,07/09/2011,Abyan,Al Mahfid,Unknown,3,10,0,0,0,0,2,24,YE-AB,ABYAN,Abyan,13.786202,46.141766,ALMAHFID,Al Mahfid,14.01847,46.755958
YEM028,21/09/2011,Abyan,Al Mahfid,Unknown,4,4,0,0,0,0,0,0,YE-AB,ABYAN,Abyan,13.786202,46.141766,ALMAHFID,Al Mahfid,14.01847,46.755958
YEM029,21/09/2011,Abyan,unclear,Unknown,6,7,0,0,0,0,3,3,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM030,30/09/2011,Al Jawf,unclear,Unknown,4,4,0,0,0,0,0,0,YE-JA,ALJAWF,Al Jawf,16.689733,45.611556,,,,
YEM031,05/10/2011,Abyan,unclear,Unknown,5,5,0,0,0,0,7,7,YE-AB,ABYAN,Abyan,13.786202,46.141766,,,,
YEM032,14/10/2011,Shabwah,unclear,Unknown,0,0,0,0,0,0,0,0,YE-SH,SHABWAH,Shabwah,15.0,47.0,,,,
YEM033,14/10/2011,Shabwah,unclear,Unknown,7,9,2,2,2,2,0,0,YE-SH,SHABWAH,Shabwah,15.0,47.0,,,,
